Ticker,symbol,Market Cap,Trailing P/E,P/B Ratio,Trailing EPS,Forward P/E,Forward EPS,Dividend Yield %,Beta,Trailing P/E Graham Status,P/B Ratio Graham Status,Combined P/E x P/B Graham Status,Trailing P/E Sector Status,Forward P/E Sector Status,P/B Ratio Sector Status
CREG,CREG,9476494.0,,0.08815469,-0.53,,,,0.788,Overvalued,Undervalued,Overvalued,Fair Value,Fair Value,Undervalued
ALE,ALE,3309988352.0,13.348837,1.1767601,4.3,13.699285,4.19,4.9099997,0.753,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued
LNT,LNT,12152317952.0,17.05036,1.7911803,2.78,14.4512205,3.28,4.05,0.54,Fair Value,Fair Value,Overvalued,Fair Value,Fair Value,Fair Value
UTL,UTL,781852672.0,17.152483,1.5938972,2.82,15.603226,3.1,3.5099998,0.575,Fair Value,Fair Value,Overvalued,Fair Value,Fair Value,Fair Value
RGCO,RGCO,194832384.0,14.633589,1.8624307,1.31,15.094488,1.27,4.21,0.202,Undervalued,Fair Value,Overvalued,Fair Value,Fair Value,Overvalued
DUK,DUK,71645487104.0,17.35888,1.5186251,5.35,14.671407,6.33,4.4099998000000005,0.465,Fair Value,Fair Value,Fair Value,Fair Value,Fair Value,Fair Value
PCYO,PCYO,229806192.0,35.333332,1.908,0.27,105.99999,0.09,,0.974,Overvalued,Fair Value,Overvalued,Overvalued,Overvalued,Overvalued
ES,ES,20061585408.0,,1.4106042,-1.27,11.916666,4.8,5.0,0.597,Overvalued,Undervalued,Overvalued,Fair Value,Fair Value,Fair Value
VGAS,VGAS,46389696.0,,4.1624365,-0.45,,,,-0.487,Overvalued,Overvalued,Overvalued,Fair Value,Fair Value,Overvalued
OGS,OGS,3454127616.0,14.748793,1.2483133,4.14,14.748793,4.14,4.32,0.653,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value
VST,VST,23581921280.0,18.88268,8.3850155,3.58,14.382979,4.7,1.27,1.068,Fair Value,Overvalued,Overvalued,Fair Value,Fair Value,Overvalued
AWK,AWK,22174640128.0,23.181263,2.2623284,4.91,20.074074,5.67,2.4899999999999998,0.624,Overvalued,Overvalued,Overvalued,Overvalued,Overvalued,Overvalued
SR,SR,3196734720.0,15.671159,1.1379026,3.71,12.694324,4.58,5.19,0.523,Fair Value,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued
ED,ED,30222927872.0,12.124826,1.4271721,7.21,15.610714,5.6,3.8,0.353,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value
ELP,ELP,5257206272.0,11.949153,0.8803696,0.59,11.557377,0.61,7.8200005,0.45,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued
POR,POR,4104511488.0,17.403433,1.2359036,2.33,12.515431,3.24,4.6899999999999995,0.588,Fair Value,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value
UGI,UGI,4842723840.0,,1.137583,-2.18,7.7290974,2.99,6.4899996,1.178,Overvalued,Undervalued,Overvalued,Fair Value,Undervalued,Undervalued
PNW,PNW,8086393856.0,16.147392,1.3074452,4.41,14.532653,4.9,4.9399999999999995,0.482,Fair Value,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value
FTS,FTS,18350798848.0,16.506666,0.91642606,2.25,15.410788,2.41,4.7199998,0.178,Fair Value,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued
EIX,EIX,25700470784.0,21.482315,1.8549573,3.11,11.973118,5.58,4.67,0.967,Overvalued,Fair Value,Overvalued,Overvalued,Fair Value,Overvalued
EDN,EDN,885260992.0,8.057971,0.03328325,2.07,2.7570248,6.05,,1.344,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued
CWT,CWT,2524443648.0,48.0989,1.770846,0.91,18.390755,2.38,2.56,0.498,Overvalued,Fair Value,Overvalued,Overvalued,Overvalued,Fair Value
ALCE,ALCE,31830490.0,,,,,,,0.251,Overvalued,Overvalued,Overvalued,Fair Value,Fair Value,Fair Value
HE,HE,1050084608.0,5.259669,0.4472213,1.81,4.3076925,2.21,,0.533,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued
EXC,EXC,35740524544.0,15.277779,1.3866801,2.34,13.645039,2.62,4.25,0.607,Fair Value,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value
NEP,NEP,2525561088.0,79.411766,0.7065843,0.34,16.564417,1.63,12.76,0.997,Overvalued,Undervalued,Overvalued,Overvalued,Fair Value,Undervalued
NWN,NWN,1350349312.0,13.710424,1.0408605,2.59,12.637011,2.81,5.4899998,0.554,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued
ENLT,ENLT,1972353536.0,29.298246,1.6855067,0.57,16.7,1.0,,0.648,Overvalued,Fair Value,Overvalued,Overvalued,Fair Value,Fair Value
SWX,SWX,5247892480.0,34.394367,1.5838974,2.13,19.907608,3.68,3.39,0.359,Overvalued,Fair Value,Overvalued,Overvalued,Overvalued,Fair Value
SBS,SBS,10766404608.0,14.168223,0.3470537,1.07,12.128,1.25,1.76,0.54,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued
CWEN-A,CWEN-A,4284822272.0,30.283583,1.1299845,0.67,16.362904,1.24,7.95,0.972,Overvalued,Undervalued,Overvalued,Overvalued,Fair Value,Undervalued
SJW,SJW,1665217152.0,19.380596,1.3485305,2.68,17.313334,3.0,2.96,0.579,Fair Value,Undervalued,Fair Value,Fair Value,Overvalued,Fair Value
WEC,WEC,24570873856.0,18.43602,2.0931985,4.22,14.875717,5.23,4.29,0.405,Fair Value,Overvalued,Overvalued,Fair Value,Fair Value,Overvalued
ELPC,ELPC,5118768128.0,,,,,,,0.45,Overvalued,Overvalued,Overvalued,Fair Value,Fair Value,Fair Value
BEP,BEP,13233034240.0,,1.0584501,-0.32,-36.381817,-0.55,7.1,0.793,Overvalued,Undervalued,Overvalued,Fair Value,Undervalued,Undervalued
WAVE,WAVE,22141946.0,,2.7843685,-0.32,,,,-0.203,Overvalued,Overvalued,Overvalued,Fair Value,Fair Value,Overvalued
ARTNA,ARTNA,347396928.0,20.191618,1.5053573,1.67,16.057144,2.1,3.44,0.184,Overvalued,Fair Value,Overvalued,Fair Value,Fair Value,Fair Value
KEP,KEP,9451351040.0,,0.00013145518,-2.68,1.5818967,4.64,,0.784,Overvalued,Undervalued,Overvalued,Fair Value,Undervalued,Undervalued
CDZI,CDZI,144659744.0,,3.589316,-0.56,-11.31579,-0.19,,0.699,Overvalued,Overvalued,Overvalued,Fair Value,Undervalued,Overvalued
NRG,NRG,16001977344.0,,6.8751726,-1.12,11.791139,6.32,2.19,1.134,Overvalued,Overvalued,Overvalued,Fair Value,Fair Value,Overvalued
SPH,SPH,1187602432.0,11.666666,2.1594877,1.59,7.54065,2.46,7.01,0.422,Undervalued,Overvalued,Fair Value,Undervalued,Undervalued,Overvalued
FE,FE,21196257280.0,18.790817,2.0267444,1.96,12.877624,2.86,4.62,0.479,Fair Value,Overvalued,Overvalued,Fair Value,Fair Value,Overvalued
