Ticker,symbol,Market Cap,Trailing P/E,Forward P/E,P/B Ratio,Graham Metric,Dividend Yield %,Beta,Alpha %,CROCI %,Sortino Ratio,Volatility,6 Month Appreciation %,Financial Currency,Trailing P/E Graham Status,P/B Ratio Graham Status,Combined P/E x P/B Graham Status,Trailing P/E Sector Status,Forward P/E Sector Status,P/B Ratio Sector Status,sector
IAG,IAG,2251927296.0,16.142857,8.37037,0.9892756,15.9697345443892,,1.513,32.32,7.642792384406165,0.036470121311747296,0.03936675087840819,86.77685282756545,USD,Fair Value,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Basic Materials
SUZ,SUZ,13040054272.0,7.416058,6.0838323,0.29234886,2.1680761019938797,5.6799997,0.572,-7.6,36.35273467274461,0.041285184489858566,0.027431561354026152,-6.445670638992547,BRL,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Basic Materials
X,X,8074363392.0,10.3786125,10.816265,0.7209396,7.4823527443049995,0.5599999999999999,2.066,-0.69,16.701366307594824,0.036716706201482784,0.03869718981428626,3.4870289852124965,USD,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Basic Materials
SQM,SQM,13667778560.0,6.787234,7.975,2.4712079,16.7726662799486,4.37,1.114,-24.71,57.11930294222676,0.03698660266793588,0.02811056501937926,-5.677116290366667,USD,Undervalued,Overvalued,Undervalued,Undervalued,Undervalued,Overvalued,Basic Materials
DRD,DRD,796886592.0,11.419753,13.602941,0.12647325,1.44429327610725,4.8299997999999995,1.359,3.55,27.360100476562376,0.05901070360663241,0.03923277776052132,7.808858767501535,ZAR,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Basic Materials
CLW,CLW,858442432.0,8.694257,10.568789,1.2517328,10.882886658529602,,0.51,41.04,41.07970689397338,0.016321325637051104,0.03099126345890521,43.89153078563034,USD,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Basic Materials
LOMA,LOMA,1106749568.0,19.102564,15.851064,0.0017493372,0.0334168258205808,10.850000399999999,1.406,6.73,26.98265762810675,0.002732437105073644,0.035082164446464614,16.588418856454922,ARS,Fair Value,Undervalued,Undervalued,Fair Value,Overvalued,Undervalued,Basic Materials
CPAC,CPAC,478856256.0,10.314815,42.846157,1.9240069,19.8457752322235,9.71,0.273,-4.93,43.8477724519499,0.017110257018038148,0.022239017171642235,12.298389694010906,PEN,Undervalued,Fair Value,Undervalued,Undervalued,Overvalued,Fair Value,Basic Materials
MT,MT,21296257024.0,27.257732,5.373984,0.40406513,11.01389902408516,1.8900000000000001,1.884,-15.07,10.138804069605827,0.011664446514741019,0.02993272994924923,9.16598383006169,USD,Overvalued,Undervalued,Undervalued,Overvalued,Undervalued,Undervalued,Basic Materials
SXC,SXC,884474368.0,14.611112,15.028572,1.4197032,20.743442461958402,3.8,1.173,1.95,43.71540214913709,0.018978335257274038,0.03710629361762991,16.371686970751632,USD,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Basic Materials
