Ticker,symbol,Market Cap,Trailing P/E,P/B Ratio,Trailing EPS,Forward P/E,Forward EPS,Dividend Yield %,Beta,Trailing P/E Graham Status,P/B Ratio Graham Status,Combined P/E x P/B Graham Status,Trailing P/E Sector Status,Forward P/E Sector Status,P/B Ratio Sector Status,sector
ECBK,ECBK,118872432.0,24.73077,0.7246295,0.52,,,,,Overvalued,Undervalued,Undervalued,Overvalued,Fair Value,Undervalued,Financial Services
BNS,BNS,56801124352.0,10.445946,0.8100178,4.44,9.023347,5.14,6.74,0.964,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
VOYA,VOYA,6806062080.0,12.391145,1.6474514,5.42,7.1144075,9.44,2.3800000000000003,1.045,Undervalued,Fair Value,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
SNEX,SNEX,2033082112.0,8.136364,1.368676,7.92,8.779292,7.34,,0.873,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Financial Services
ING,ING,52859760640.0,7.207373,0.95628256,2.17,7.377359,2.12,7.6799995999999995,1.626,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
CIA,CIA,97657632.0,4.104167,0.56706965,0.48,,,,0.18,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
CATY,CATY,2510650368.0,7.106996,0.9172022,4.86,7.9402304,4.35,3.94,1.108,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
CATC,CATC,479343296.0,8.739629,0.9099304,6.99,9.56025,6.39,4.3899998,0.575,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
CFG,CFG,14856712192.0,10.354632,0.6770279,3.13,8.042183,4.03,5.1799998,1.354,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued,Financial Services
FISI,FISI,255800656.0,5.2571425,0.5831807,3.15,5.3592234,3.09,7.249999999999999,0.888,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
PWOD,PWOD,131643528.0,7.4871798,0.6867895,2.34,,,7.31,0.461,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
NECB,NECB,210283712.0,4.503012,0.68568546,3.32,6.152263,2.43,2.6700001,0.549,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
LC,LC,847956480.0,21.333332,0.6773681,0.36,10.378378,0.74,,1.992,Overvalued,Undervalued,Undervalued,Overvalued,Fair Value,Undervalued,Financial Services
CRBG,CRBG,16690565120.0,15.678362,1.416495,1.71,4.582906,5.85,3.4299999999999997,,Fair Value,Undervalued,Undervalued,Overvalued,Undervalued,Overvalued,Financial Services
GHI,GHI,336587360.0,7.1014495,0.9690817,2.07,10.425532,1.41,10.07,0.688,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
UVE,UVE,555560192.0,8.63964,1.6277689,2.22,9.495049,2.02,3.34,0.848,Undervalued,Fair Value,Undervalued,Undervalued,Fair Value,Overvalued,Financial Services
BAP,BAP,12690772992.0,9.805897,0.3909669,16.28,7.8601675,20.31,4.24,1.097,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
TIGR,TIGR,492038016.0,14.952382,1.0019145,0.21,10.129032,0.31,,1.211,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
BAFN,BAFN,52926848.0,10.578512,0.6191651,1.21,,,2.5,1.051,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued,Financial Services
INDB,INDB,2057716352.0,8.942804,0.71774447,5.42,9.891837,4.9,4.71,0.85,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
NISN,NISN,23181552.0,1.5939227,0.120466836,3.62,,,,1.777,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
FFBC,FFBC,1976594816.0,7.728625,0.872137,2.69,9.118422,2.28,4.4299997,1.043,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
SFNC,SFNC,2191986688.0,12.673913,0.63897413,1.38,10.730062,1.63,4.8,0.886,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Undervalued,Financial Services
SSSS,SSSS,100145536.0,20.789474,0.49424425,0.19,-6.694916,-0.59,,1.391,Overvalued,Undervalued,Undervalued,Overvalued,Undervalued,Undervalued,Financial Services
AXS,AXS,5187103232.0,15.236319,1.1083364,4.02,5.800189,10.56,2.87,0.801,Fair Value,Undervalued,Undervalued,Overvalued,Undervalued,Fair Value,Financial Services
COFS,COFS,176828864.0,8.294326,0.9024616,2.82,7.848993,2.98,4.67,0.557,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
PFC,PFC,683848768.0,6.1414795,0.69948,3.11,8.025209,2.38,6.4899996,1.266,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
BCAL,BCAL,262278816.0,10.23741,0.9071205,1.39,7.4502616,1.91,,0.51,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
L,L,16282318848.0,11.656598,1.037278,6.29,25.282757,2.9,0.33999999999999997,0.822,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Fair Value,Financial Services
RBKB,RBKB,85700816.0,19.34975,0.7315596,0.4,,,,0.733,Fair Value,Undervalued,Undervalued,Overvalued,Fair Value,Undervalued,Financial Services
WHF,WHF,288911744.0,14.125,0.91202587,0.88,7.533334,1.65,12.43,1.315,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
NFBK,NFBK,362818880.0,9.488372,0.51944745,0.86,8.079207,1.01,6.36,0.667,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
EIG,EIG,1077859072.0,9.557303,1.0641811,4.45,11.432796,3.72,2.6300002,0.245,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Fair Value,Financial Services
MSBI,MSBI,498616992.0,7.6835017,0.7218549,2.97,7.3851132,3.09,5.43,0.751,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
UMBF,UMBF,3872072448.0,11.064068,1.2440686,7.18,10.316884,7.7,1.96,0.831,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
EQS,EQS,19835852.0,1.5208334,0.41080475,0.96,,,,0.973,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
FCBC,FCBC,583301568.0,11.827715,1.1609441,2.67,13.850878,2.28,3.6700000000000004,0.509,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Fair Value,Financial Services
ACIC,ACIC,515756608.0,5.8324323,1.4549623,1.85,7.193333,1.5,,-0.194,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Financial Services
BBAR,BBAR,2068245120.0,29.249998,0.0035686272,0.28,8.999999,0.91,4.1100003,1.564,Overvalued,Undervalued,Undervalued,Overvalued,Fair Value,Undervalued,Financial Services
SASR,SASR,897224256.0,7.3040295,0.56391406,2.73,7.1469536,2.79,6.819999999999999,0.915,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
SLRC,SLRC,807408064.0,10.571429,0.8183578,1.4,9.192547,1.61,11.07,1.12,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
BCH,BCH,11136128000.0,8.421875,2.156,2.56,8.872428,2.43,7.59,0.16,Undervalued,Overvalued,Undervalued,Undervalued,Fair Value,Overvalued,Financial Services
FHN,FHN,7719270912.0,9.032468,0.9171227,1.54,8.58642,1.62,4.31,0.952,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
NKSH,NKSH,165084784.0,10.530075,1.1739805,2.66,10.185454,2.75,5.57,0.486,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
TCBK,TCBK,1065577216.0,9.099432,0.9188444,3.52,9.448377,3.39,4.1199997,0.545,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
FRST,FRST,261747936.0,26.5,0.6587534,0.4,5.921788,1.79,3.7699999999999996,0.727,Overvalued,Undervalued,Undervalued,Overvalued,Undervalued,Undervalued,Financial Services
CHMG,CHMG,187841504.0,7.488636,0.959406,5.28,7.3358073,5.39,3.1400003,0.209,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
BCBP,BCBP,162084064.0,5.6235294,0.55916244,1.7,5.526012,1.73,6.65,0.568,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
IFS,IFS,2575780864.0,9.134146,0.25852546,2.46,5.3120565,4.23,4.4499997,0.813,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
BK,BK,40382062592.0,13.953488,1.1224511,3.87,9.060403,5.96,3.05,1.113,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
SYF,SYF,16241211392.0,7.6917143,1.233393,5.19,6.847341,5.83,2.4500001,1.608,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Financial Services
HMNF,HMNF,85234896.0,13.9416065,0.77112526,1.37,,,1.6099999999999999,0.148,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued,Financial Services
STBA,STBA,1117194752.0,7.804813,0.86955225,3.74,9.7300005,3.0,4.52,0.767,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
EGBN,EGBN,631792960.0,6.323263,0.49152225,3.31,7.751852,2.7,8.59,1.003,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
OBK,OBK,864212480.0,10.284133,0.81246537,2.71,10.438202,2.67,2.15,0.96,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
ALLY,ALLY,10930437120.0,12.026755,0.95056826,2.99,6.708955,5.36,3.34,1.382,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Fair Value,Financial Services
GROW,GROW,44863196.0,12.043478,0.77201784,0.23,,,3.25,1.974,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued,Financial Services
KB,KB,17556217856.0,5.5281434,0.00033680408,8.35,4.0633802,11.36,9.8400004,0.704,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
BHLB,BHLB,891436416.0,12.81875,0.8655104,1.6,8.236948,2.49,3.5099998,0.869,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
NBHC,NBHC,1221140224.0,8.682796,1.0062932,3.72,9.202279,3.51,3.34,0.82,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
SAN,SAN,72564752384.0,6.6231885,0.76077914,0.69,5.858975,0.78,4.4899996,1.356,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
MCB,MCB,366531104.0,4.782923,0.55480015,6.91,4.6094837,7.17,,1.168,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
WTFC,WTFC,5832838656.0,9.860126,1.1600289,9.58,9.417747,10.03,1.91,1.201,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
MOFG,MOFG,315797504.0,15.075187,0.6000838,1.33,7.160714,2.8,4.8499998,0.937,Fair Value,Undervalued,Undervalued,Overvalued,Fair Value,Undervalued,Financial Services
RM,RM,242462416.0,14.801205,0.7440269,1.66,3.9565217,6.21,4.8800003,1.474,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Undervalued,Financial Services
FHB,FHB,2620387584.0,11.157609,1.0539016,1.84,11.4692745,1.79,5.07,0.998,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Fair Value,Financial Services
HONE,HONE,422991456.0,24.810812,0.66821957,0.37,11.060242,0.83,3.49,0.733,Overvalued,Undervalued,Undervalued,Overvalued,Overvalued,Undervalued,Financial Services
SBSI,SBSI,814907456.0,9.542553,1.0526522,2.82,9.215754,2.92,5.35,0.525,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
WTBA,WTBA,266765344.0,11.076388,1.1854329,1.44,10.290322,1.55,6.25,0.907,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
HBCP,HBCP,278459008.0,6.8456917,0.7584537,4.99,7.8709674,4.34,2.97,0.663,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
LSBK,LSBK,61623016.0,13.219513,0.70152736,0.82,,,7.4200004,0.502,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued,Financial Services
HGBL,HGBL,95579640.0,7.878787,1.5643803,0.33,6.341463,0.41,,1.225,Undervalued,Fair Value,Undervalued,Undervalued,Undervalued,Overvalued,Financial Services
WDH,WDH,461859456.0,20.166668,0.09758852,0.06,10.083334,0.12,,-0.338,Overvalued,Undervalued,Undervalued,Overvalued,Fair Value,Undervalued,Financial Services
CCNE,CCNE,388115936.0,7.2392154,0.7402654,2.55,7.3545814,2.51,3.8,,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
ESGR,ESGR,4289079552.0,4.121823,0.75795746,68.46,7.0544996,40.0,,0.662,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
HTLF,HTLF,1424697216.0,19.821428,0.7800238,1.68,6.9087133,4.82,3.5999999999999996,1.056,Fair Value,Undervalued,Undervalued,Overvalued,Undervalued,Fair Value,Financial Services
C,C,108759949312.0,16.623907,0.5754945,3.43,7.9415045,7.18,3.7199999999999998,1.496,Fair Value,Undervalued,Undervalued,Overvalued,Fair Value,Undervalued,Financial Services
PROV,PROV,92748512.0,11.745614,0.717347,1.14,10.3,1.3,4.18,0.393,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued,Financial Services
CFB,CFB,587371968.0,8.678832,0.88977027,1.37,7.162651,1.66,,,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
FIBK,FIBK,2516592384.0,9.826613,0.78483784,2.48,9.519532,2.56,7.71,0.865,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
FUNC,FUNC,146215952.0,9.782223,0.90282625,2.25,6.878125,3.2,3.63,0.833,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Financial Services
PCB,PCB,215383392.0,7.122642,0.76754946,2.12,8.388889,1.8,4.77,0.62,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
EIC,EIC,201760720.0,19.413965,1.0823022,0.802,,,15.409999999999998,0.455,Fair Value,Undervalued,Undervalued,Overvalued,Fair Value,Fair Value,Financial Services
SFST,SFST,218175936.0,16.114458,0.6924132,1.66,6.8239794,3.92,,0.773,Fair Value,Undervalued,Undervalued,Overvalued,Undervalued,Undervalued,Financial Services
BFST,BFST,515873664.0,7.799228,0.8947951,2.59,7.98419,2.53,2.77,0.935,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
FNLC,FNLC,245084800.0,8.278195,1.0053418,2.66,,,6.38,0.532,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
CASH,CASH,1237068544.0,7.995057,1.7281532,6.07,7.2758617,6.67,0.41000000000000003,0.668,Undervalued,Fair Value,Undervalued,Undervalued,Fair Value,Overvalued,Financial Services
ISTR,ISTR,153380976.0,9.278107,0.67403173,1.69,7.959391,1.97,2.55,0.77,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
FGBI,FGBI,123796528.0,15.967741,0.57027644,0.62,10.760869,0.92,6.460000000000001,0.429,Fair Value,Undervalued,Undervalued,Overvalued,Overvalued,Undervalued,Financial Services
FSK,FSK,5279243776.0,7.6008067,0.7708035,2.48,7.1401515,2.64,14.850000999999999,1.294,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
HWC,HWC,3651441920.0,9.335555,0.9536457,4.5,8.401999,5.0,2.86,1.337,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
FCNCA,FCNCA,22079178752.0,1.9533868,1.0921872,784.54,8.061175,190.11,0.43,0.88,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
JPM,JPM,519273906176.0,10.917875,1.6926144,16.56,11.044594,16.37,2.54,1.117,Undervalued,Fair Value,Undervalued,Fair Value,Overvalued,Overvalued,Financial Services
NBN,NBN,395335776.0,7.07113,1.2079769,7.17,7.7051673,6.58,0.08,1.15,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Financial Services
CAC,CAC,423664512.0,9.750841,0.85206544,2.97,8.802431,3.29,5.82,0.724,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
ICCH,ICCH,50223680.0,11.188811,0.70478374,1.43,,,,0.24,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued,Financial Services
GNW,GNW,2553256704.0,36.3125,0.3264962,0.16,6.4555554,0.9,,1.074,Overvalued,Undervalued,Undervalued,Overvalued,Undervalued,Undervalued,Financial Services
GGAL,GGAL,5060582912.0,10.558935,0.020294739,2.63,6.036957,4.6,2.12,1.822,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Undervalued,Financial Services
WAFD,WAFD,2188024576.0,7.841642,0.79839957,3.41,8.304348,3.22,3.8900003,0.829,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
FBP,FBP,2714663424.0,9.526316,1.8319839,1.71,8.90164,1.83,3.9300002000000003,1.169,Undervalued,Fair Value,Undervalued,Undervalued,Fair Value,Overvalued,Financial Services
RF,RF,17289924608.0,8.914692,1.1001287,2.11,8.549999,2.2,5.1,1.214,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
PFS,PFS,1031197696.0,7.9766083,0.6071397,1.71,6.433963,2.12,7.04,1.058,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
HNNA,HNNA,53497256.0,10.890625,0.60672003,0.64,5.5759997,1.25,7.89,0.782,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Undervalued,Financial Services
AMTD,AMTD,1737196160.0,0.57242423,0.013267727,2.97,,,,0.505,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
BOTJ,BOTJ,44524732.0,5.1308904,0.74158156,1.91,,,4.0799997999999995,0.729,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
WTM,WTM,4385089024.0,8.60574,1.0168178,198.6,28.484999,60.0,0.059999997,0.418,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Fair Value,Financial Services
HTBK,HTBK,482678368.0,7.504762,0.71603817,1.05,9.16279,0.86,6.6000000000000005,0.893,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
MKL,MKL,18560681984.0,9.690036,1.2990167,146.92,14.394944,98.9,,0.691,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Overvalued,Financial Services
FNCB,FNCB,108263520.0,8.181818,0.79388416,0.66,,,6.670000399999999,0.33,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
HTH,HTH,1873151616.0,17.011833,0.8823349,1.69,15.456989,1.86,2.3699999,1.097,Fair Value,Undervalued,Undervalued,Overvalued,Overvalued,Fair Value,Financial Services
OPBK,OPBK,133710208.0,5.7677417,0.69620746,1.55,6.081632,1.47,5.35,0.603,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
MFIN,MFIN,183406912.0,3.295359,0.511293,2.37,3.924623,1.99,5.12,2.077,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
FINV,FINV,1319360512.0,4.095652,0.09201196,1.15,3.14,1.5,5.0300002,0.434,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
IBCP,IBCP,486052864.0,8.333333,1.1977745,2.79,8.129371,2.86,4.1300002000000005,0.976,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Financial Services
CZFS,CZFS,207907744.0,10.87931,0.74341494,4.06,6.2211266,7.1,4.3899998,0.36,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Undervalued,Financial Services
FDBC,FDBC,264167792.0,14.266457,1.3699166,3.19,,,3.34,0.635,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
OMF,OMF,5681698816.0,8.917293,1.7831905,5.32,6.1770835,7.68,8.430000399999999,1.657,Undervalued,Fair Value,Undervalued,Undervalued,Undervalued,Overvalued,Financial Services
VINP,VINP,560912896.0,13.0375,0.4067863,0.8,8.914531,1.17,7.140000000000001,0.058,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued,Financial Services
NOAH,NOAH,790668032.0,6.9195404,0.080232434,1.74,5.3274336,2.26,3.18,0.989,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
FBK,FBK,1695341056.0,14.066149,1.1483482,2.57,12.380137,2.92,1.72,,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Fair Value,Financial Services
AUB,AUB,2844220416.0,12.56917,0.9333451,2.53,9.217391,3.45,4.03,0.919,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
DCOM,DCOM,700201792.0,7.8646293,0.6300948,2.29,6.363958,2.83,5.55,1.118,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
GAIN,GAIN,495643680.0,6.9396987,1.0614911,1.99,13.152382,1.05,6.959999999999999,1.335,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Fair Value,Financial Services
ASB,ASB,2990253568.0,17.610619,0.7434527,1.13,8.396625,2.37,4.42,0.991,Fair Value,Undervalued,Undervalued,Overvalued,Fair Value,Undervalued,Financial Services
FRME,FRME,1927316224.0,8.715817,0.8692048,3.73,9.288571,3.5,4.18,1.1,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
MRBK,MRBK,97761264.0,7.534483,0.6089319,1.16,5.233533,1.67,5.72,0.68,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
NIC,NIC,1160249088.0,19.046568,1.113978,4.08,10.793056,7.2,1.2899999500000001,0.739,Fair Value,Undervalued,Undervalued,Overvalued,Overvalued,Fair Value,Financial Services
TD,TD,99483697152.0,12.202174,0.92733943,4.6,9.20164,6.1,5.3600002,0.828,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
CCAP,CCAP,629304256.0,7.287554,0.8474322,2.33,8.447761,2.01,9.659999599999999,0.888,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
PTMN,PTMN,177249280.0,15.816666,0.8340657,1.2,6.6596494,2.85,14.540000000000001,0.953,Fair Value,Undervalued,Undervalued,Overvalued,Undervalued,Fair Value,Financial Services
ORRF,ORRF,268590976.0,7.336257,1.0045644,3.42,6.0167866,4.17,3.19,0.872,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Financial Services
VBNK,VBNK,250277072.0,8.429825,0.6646839,1.14,5.111702,1.88,0.77,1.074,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
RNST,RNST,1599935744.0,11.1171875,0.69548637,2.56,10.200717,2.79,3.09,1.042,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued,Financial Services
ACT,ACT,4630862848.0,7.1313863,1.0082213,4.11,7.477041,3.92,2.18,0.54,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
STT,STT,22015821824.0,13.447514,1.0023198,5.43,8.326111,8.77,3.7800000000000002,1.539,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
ARC,ARC,113329640.0,13.947369,0.7359067,0.19,8.281251,0.32,7.550000399999999,1.192,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Industrials
HY,HY,1061919936.0,8.386741,2.6763048,7.24,6.799552,8.93,2.1399999999999997,1.481,Undervalued,Overvalued,Undervalued,Undervalued,Undervalued,Fair Value,Industrials
TDCX,TDCX,1037998784.0,12.421053,1.5701929,0.57,11.0625,0.64,,0.289,Undervalued,Fair Value,Undervalued,Undervalued,Fair Value,Undervalued,Industrials
TITN,TITN,527121824.0,4.6795135,0.7899062,4.93,6.706395,3.44,,1.401,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Industrials
SCX,SCX,111780512.0,6.2334633,0.9169481,2.57,,,,0.486,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Industrials
PLPC,PLPC,606574080.0,9.70134,1.4520085,12.69,,,0.64999997,0.741,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Industrials
DAL,DAL,30039273472.0,5.9679484,2.676518,7.8,6.1330695,7.59,0.86,1.428,Undervalued,Overvalued,Undervalued,Undervalued,Undervalued,Fair Value,Industrials
TORO,TORO,81128640.0,1.5278747,0.44008434,2.87,,,,,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Industrials
PKOH,PKOH,315611168.0,8.875,1.0610522,2.72,6.0806046,3.97,2.0599999,1.212,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Industrials
NMM,NMM,1275592704.0,3.0014203,0.46992102,14.08,2.8267558,14.95,0.47000000000000003,1.997,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Industrials
R,R,4952636416.0,12.815578,1.6004349,8.73,8.318215,13.45,2.54,1.401,Undervalued,Fair Value,Undervalued,Undervalued,Undervalued,Undervalued,Industrials
CVU,CVU,34835424.0,1.9637681,1.5673801,1.38,6.948718,0.39,,1.697,Undervalued,Fair Value,Undervalued,Undervalued,Undervalued,Undervalued,Industrials
TEX,TEX,4177584128.0,8.210318,2.4533598,7.56,8.729958,7.11,1.06,1.645,Undervalued,Overvalued,Undervalued,Undervalued,Undervalued,Fair Value,Industrials
WNC,WNC,1204972928.0,5.5467777,2.204048,4.81,10.183207,2.62,1.2,1.563,Undervalued,Overvalued,Undervalued,Undervalued,Undervalued,Fair Value,Industrials
AL,AL,5396844544.0,9.428016,0.75145763,5.14,8.990724,5.39,1.73,1.648,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Industrials
GTEC,GTEC,26101440.0,14.769231,0.3554239,0.13,6.0,0.32,,1.434,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Industrials
KE,KE,516533280.0,9.615741,0.9441768,2.16,9.705607,2.14,,1.32,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Industrials
PPIH,PPIH,58067852.0,11.587302,1.0331163,0.63,,,,0.287,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Industrials
CPLP,CPLP,914749888.0,7.7302327,0.36696035,2.15,7.876778,2.11,3.61,0.874,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Industrials
MATX,MATX,3736063488.0,13.020433,1.5522726,8.32,12.596511,8.6,1.17999995,1.122,Undervalued,Fair Value,Undervalued,Undervalued,Fair Value,Undervalued,Industrials
