Ticker,symbol,Market Cap,Trailing P/E,P/B Ratio,Trailing EPS,Forward P/E,Forward EPS,Dividend Yield %,Beta,Trailing P/E Graham Status,P/B Ratio Graham Status,Combined P/E x P/B Graham Status,Trailing P/E Sector Status,Forward P/E Sector Status,P/B Ratio Sector Status,sector
BTCS,BTCS,21967680.0,2.5454545,0.90850097,0.55,-4.6666665,-0.3,,1.59,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Financial Services
ONB,ONB,4903197184.0,7.979381,0.84956914,1.94,7.5882354,2.04,3.6199997999999995,0.825,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
SCM,SCM,325454336.0,16.8625,1.0172687,0.8,8.077845,1.67,11.8599996,1.19,Fair Value,Undervalued,Undervalued,Overvalued,Fair Value,Fair Value,Financial Services
UBFO,UBFO,123976832.0,6.172414,1.003082,1.16,,,6.69,0.569,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
CZNC,CZNC,261735264.0,10.840764,0.9921306,1.57,9.50838,1.79,6.5799996,0.403,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
STEW,STEW,1381284608.0,9.881944,0.84551394,1.44,,,3.8699999999999997,0.936,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
CVLY,CVLY,206449568.0,8.26641,1.0342995,2.59,10.705,2.0,3.18,0.547,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Fair Value,Financial Services
ARCC,ARCC,12281166848.0,7.5522385,1.0516471,2.68,9.076233,2.23,9.49,1.032,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
AROW,AROW,362264608.0,12.364407,0.9763551,1.77,8.258491,2.65,4.93,0.692,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
ESNT,ESNT,5622522368.0,8.103077,1.1003175,6.5,7.4709215,7.05,2.1300000999999997,1.029,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
UCBI,UCBI,2923622144.0,15.935066,0.9203421,1.54,10.310925,2.38,3.75,0.932,Fair Value,Undervalued,Undervalued,Overvalued,Fair Value,Fair Value,Financial Services
BBDC,BBDC,973695104.0,7.65,0.81375766,1.2,7.9137936,1.16,11.3299996,0.67,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
FMBH,FMBH,699484608.0,9.2952385,0.8795434,3.15,8.662722,3.38,3.1300000000000003,0.862,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
GSBC,GSBC,590374336.0,8.969697,1.0387679,5.61,9.944664,5.06,3.18,0.658,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
BFIN,BFIN,126476104.0,13.716215,0.8149337,0.74,11.941175,0.85,3.9300002000000003,0.465,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Fair Value,Financial Services
OPHC,OPHC,37607428.0,4.6091957,0.41528586,0.87,,,,0.306,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
FUSB,FUSB,55498480.0,7.210526,0.60711575,1.33,,,2.08,0.997,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
